City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,oyon,32,PE,1526852201,34,-10.67,-76.77,59.15,1.3
310,linxia,92,CN,1526852176,99,35.6,103.21,47.36,3.2
311,katsuura,75,JP,1526851200,87,33.93,134.5,59.0,6.93
312,ara,0,SY,1526850000,68,35.71,36.15,69.8,4.7
313,luangwa,32,MZ,1526852177,63,-15.62,30.4,66.26,4.21
314,ambon,0,FR,1526850000,48,47.55,-2.56,62.6,4.7
315,hami,32,CN,1526852177,46,42.84,93.51,47.72,3.42
316,mount isa,0,AU,1526850000,36,-20.73,139.49,60.8,16.11
317,knysna,24,ZA,1526850000,77,-34.04,23.05,60.8,4.7
318,weatherford,40,US,1526850900,61,32.76,-97.8,82.4,4.7
319,sangar,12,RU,1526852178,82,63.92,127.47,38.09,4.09
320,manadhoo,88,MV,1526852179,100,5.77,73.38,83.81,13.71
321,tottori,88,JP,1526851983,100,35.5,134.23,51.59,1.86
322,afyonkarahisar,8,TR,1526852179,91,38.76,30.53,50.06,0.63
323,olivehurst,1,US,1526850000,53,39.1,-121.55,73.4,11.41
324,ottawa,40,CA,1526846400,45,45.42,-75.69,64.4,10.29
325,muros,0,ES,1526850000,44,42.77,-9.06,60.8,3.36
326,bambous virieux,75,MU,1526850000,88,-20.34,57.76,71.6,14.99
327,halifax,75,CA,1526850900,100,44.65,-63.58,59.0,10.29
328,skjervoy,75,NO,1526847600,81,70.03,20.97,48.2,14.99
329,frontera,40,MX,1526849100,44,18.53,-92.64,96.8,5.82
330,kholtoson,76,RU,1526852209,80,50.3,103.31,24.5,2.75
331,bolivar,20,US,1526849520,58,37.61,-93.41,82.4,5.82
332,dickinson,1,US,1526849760,24,46.88,-102.79,68.0,17.22
333,noumea,90,NC,1526850000,88,-22.28,166.46,71.6,6.55
334,kralendijk,75,BQ,1526849700,74,12.15,-68.27,84.2,23.04
335,itacoatiara,56,BR,1526852185,80,-3.14,-58.44,81.83,1.19
336,olga,90,US,1526849940,68,34.11,-118.17,77.0,6.93
337,narsaq,75,GL,1526849400,55,60.91,-46.05,35.6,10.29
338,abha,0,SA,1526850000,88,18.22,42.5,68.0,5.82
339,mlimba,92,TZ,1526852186,74,-8.78,35.81,72.29,1.3
340,san pedro,12,AR,1526852188,83,-33.68,-59.66,56.09,2.98
341,vestmanna,64,FO,1526847600,70,62.16,-7.17,44.6,9.17
342,kitaibaraki,68,JP,1526852189,100,36.84,140.74,63.74,9.57
343,solano,44,PH,1526852189,93,16.52,121.18,69.05,1.63
344,puri,24,ID,1526852215,98,-7.54,112.45,70.31,3.42
345,caceres,36,CO,1526852190,89,5.53,-74.53,73.91,1.97
346,oranjestad,40,AW,1526846400,74,12.52,-70.03,87.8,24.16
347,chauk,12,MM,1526852191,94,20.89,94.82,74.9,2.98
348,poya,88,NC,1526852191,100,-21.35,165.16,73.91,12.26
349,kletnya,36,RU,1526852191,89,53.39,33.22,51.14,15.28
350,djibo,92,BF,1526852192,56,14.1,-1.63,93.71,1.63
351,eureka,90,US,1526849700,76,40.8,-124.16,55.4,11.41
352,lakes entrance,48,AU,1526852192,88,-37.88,147.99,56.99,17.07
353,ulladulla,0,AU,1526846400,62,-35.36,150.48,57.2,14.99
354,formosa,0,AR,1526850000,72,-26.19,-58.17,62.6,4.7
355,prince rupert,90,CA,1526850000,62,54.32,-130.32,57.2,9.17
356,sola,0,NO,1526849400,81,58.89,5.65,53.6,5.82
357,portland,40,US,1526849760,45,45.52,-122.67,68.0,6.93
358,yegorlykskaya,44,RU,1526852195,94,46.56,40.65,61.4,5.77
359,burnie,12,AU,1526852195,100,-41.05,145.91,54.65,21.77
360,mehamn,75,NO,1526849400,66,71.03,27.85,48.2,19.46
361,touros,0,BR,1526852196,77,-5.2,-35.46,81.92,12.26
362,quesnel,90,CA,1526850000,49,52.98,-122.49,68.0,11.41
363,lisieux,0,FR,1526850000,82,49.15,0.23,55.4,2.24
364,galdar,40,ES,1526850000,63,28.15,-15.65,66.2,14.99
365,kovdor,24,RU,1526852199,60,67.56,30.47,54.38,8.23
366,mountain home,90,US,1526849880,46,43.13,-115.69,71.6,12.75
367,taoudenni,0,ML,1526852225,26,22.68,-3.98,87.5,9.57
368,bubaque,0,GW,1526846400,69,11.28,-15.83,80.6,11.41
369,butaritari,76,KI,1526852201,100,3.07,172.79,80.84,11.48
370,saint-augustin,0,FR,1526850000,59,44.83,-0.61,64.4,2.24
371,konyshevka,92,RU,1526852202,87,51.85,35.29,57.17,8.79
372,nabire,76,ID,1526852202,96,-3.36,135.5,69.41,1.63
373,port hardy,90,CA,1526850000,71,50.7,-127.42,53.6,3.36
374,sokol,0,RU,1526852203,71,59.46,40.11,43.67,3.76
375,okakarara,0,NA,1526852203,51,-20.59,17.46,52.49,4.99
376,genhe,0,CN,1526852204,76,50.78,121.52,49.07,6.55
377,fairview,90,US,1526849760,54,40.81,-74.0,82.4,9.17
378,neiafu,40,TO,1526850000,78,-18.65,-173.98,82.4,8.05
379,ancud,48,CL,1526852206,79,-41.87,-73.83,50.78,2.98
380,puerto palomas,1,US,1526849580,11,31.78,-107.63,86.0,8.05
